Property Name,Address,Latitude,Longitude,Total Sqft,Built,Floors,Office/APT
Bishop Place,"1132 Bishop St, Honolulu, HI",21.3100201,-157.8604394,462072,2020,,Mixed
Bishop Square,"1001-1003 Bishop St, Honolulu, HI",21.3072683,-157.8632918,975901,,,Office
Harbor Court,"55 Merchant St, Honolulu, HI",21.3091458,-157.8631483,214746,1994,,Office
100 Wilshire,"100 Wilshire Blvd, Santa Monica, CA",34.016847,-118.5006013,255398,1971,21,Office
10880 Wilshire,"10880 Wilshire Blvd, Westwood, CA",34.0587955,-118.4426651,588935,1969,24,Office
10960 Wilshire,"10960 Wilshire Blvd, Westwood, CA",34.0580521,-118.445714,593452,1971,24,Office
11777 San Vicente,"11777 San Vicente Blvd, Brentwood, CA",34.052943,-118.46821,99111,1972,9,Office
12100 Wilshire,"12100 Wilshire Blvd, Brentwood, CA",34.0434918,-118.4676737,365325,1985,19,Office
12400 Wilshire,"12400 Wilshire Blvd, Brentwood, CA",34.0419752,-118.469719,246575,1985,15,Office
1299 Ocean,"1299 Ocean Avenue, Santa Monica, CA",34.015564,-118.499632,206840,1980,11,Office
150 South Rodeo Drive,"150 South Rodeo Dr, Beverly Hills, CA",34.0655242,-118.4009448,71812,1990,3,Office
15250 Ventura,"15250 Ventura Blvd, Sherman Oaks / Encino, CA",34.15479,-118.472095,114452,1970,12,Office
16000 Ventura,"16000 Ventura Blvd, Sherman Oaks / Encino, CA",34.156071,-118.481435,190058,1981,12,Office
16501 Ventura,"16501 Ventura Blvd, Sherman Oaks / Encino, CA",34.157564,-118.492347,192390,1986,6,Office
1901 Avenue of the Stars,"1901 Avenue of the Stars, Century City, CA",34.05953,-118.4176895,520327,1967,20,Office
2001 Wilshire,"2001 Wilshire Blvd, Santa Monica, CA",34.0398718,-118.4727031,111294,1923,6,Office
233 Wilshire,"233 Wilshire Blvd, Santa Monica, CA",34.0181552,-118.4996222,130242,1976,9,Office
401 Wilshire,"401 Wilshire Blvd, Santa Monica, CA",34.0197357,-118.498464,232146,1981,12,Office
429 Santa Monica,"429 Santa Monica Blvd, Santa Monica, CA",34.0171986,-118.4947459,86859,,7,Office
8383 Wilshire,"8383 Wilshire Blvd, Beverly Hills, CA",34.0650055,-118.3733834,437096,1970,10,Office
8484 Wilshire,"8484 Wilshire Blvd, Beverly Hills, CA",34.0646739,-118.37578,226166,1972,10,Office
9100 Wilshire,"9100 Wilshire Blvd, Beverly Hills, CA",34.066968,-118.389821,343025,1969,,Office
9401 Wilshire,"9401 Wilshire Blvd, Beverly Hills, CA",34.067136,-118.397522,146309,1971,12,Office
9601 Wilshire,"9601 Wilshire Blvd, Beverly Hills, CA",34.067138,-118.40357,310142,1962,9,Office
9665 Wilshire,"9665 Wilshire Blvd, Beverly Hills, CA",34.0671471,-118.4050613,167458,1971,10,Office
Barrington Plaza Commercial,"11704 Wilshire Blvd, Brentwood, CA",34.0492435,-118.460982,33991,1961,2,Office
Beverly Hills Medical Center,"8920 Wilshire Blvd, Beverly Hills, CA",34.0669549,-118.3863783,107334,1964,7,Office
Brentwood Court,"11990 San Vicente Blvd, Brentwood, CA",34.05247,-118.470683,27329,1984,3,Office
Brentwood Executive Plaza,"11726 San Vicente Blvd, Brentwood, CA",34.05256,-118.469808,90307,1981,6,Office
Brentwood Medical Plaza,"11980 San Vicente Blvd, Brentwood, CA",34.052415,-118.470926,89476,1975,9,Office
Brentwood Saltair,"11999 San Vicente Blvd, Brentwood, CA",34.052588,-118.470013,60502,1986,4,Office
Brentwood San Vicente Medical,"11633 San Vicente Blvd, Brentwood, CA",34.053733,-118.464798,46953,1957,,Office
Bundy Olympic,"11900 W. Olympic Blvd, Olympic Corridor, CA",39.3369,-120.154862,115837,,8,Office
Camden Medical Arts,"414 N. Camden Dr, Beverly Hills, CA",34.0689982,-118.4039567,66872,1971,12,Office
Carthay Campus,"6310-6330 San Vicente Blvd, Beverly Hills, CA",34.069575,-118.375517,217557,1965,,Office
Century Park Plaza,"1801 Century Park East, Century City, CA",34.0621129,-118.4158133,386863,1972,26,Office
Century Park West,"1801 Century Park West, Century City, CA",34.0582245,-118.4206737,50079,1971,6,Office
Columbus Center,"15165 Ventura Blvd, Sherman Oaks / Encino, CA",34.15479,-118.472095,65779,1987,4,Office
Coral Plaza,"11812 San Vicente Blvd, Brentwood, CA",34.053174,-118.467064,73423,1981,6,Office
Cornerstone Plaza,"1990 S. Bundy Dr, Olympic Corridor, CA",41.399627,-120.677584,177954,1986,8,Office
Encino Gateway,"15760 Ventura Blvd, Sherman Oaks / Encino, CA",34.15533,-118.47629,295054,1974,20,Office
Encino Plaza,"15910 Ventura Blvd, Sherman Oaks / Encino, CA",34.155729,-118.47945,199646,1970,18,Office
Encino Terrace,"15821 Ventura Blvd, Sherman Oaks / Encino, CA",34.155629,-118.47763,433704,1985,6,Office
Executive Tower,"11400 W. Olympic Blvd, Olympic Corridor, CA",39.336988,-120.155465,259923,1989,17,Office
First Financial Plaza,"16830 Ventura Blvd, Sherman Oaks / Encino, CA",34.158829,-118.499546,228762,1985,6,Office
Gateway Los Angeles,"12424 Wilshire Blvd, Brentwood, CA",34.0413707,-118.470985,154898,1986,14,Office
Landmark II,"11766 Wilshire Blvd, Brentwood, CA",34.0484763,-118.46193,393744,1990,18,Office
Lincoln Wilshire,"808 Wilshire Blvd, Santa Monica, CA",34.03779,-118.4751879,81698,1993,4,Office
MB Plaza,"16255 Ventura Blvd, Sherman Oaks / Encino, CA",34.156909,-118.486878,171067,1998,12,Office
Olympic Center,"11150 W. Olympic Blvd, Olympic Corridor, CA",39.336988,-120.155465,165898,1985,11,Office
One Westwood,"10990 Wilshire Blvd, Westwood, CA",34.0575418,-118.447226,205961,1988,17,Office
Palisades Promenade,"120 Broadway, Santa Monica, CA",34.0131113,-118.4957991,101431,1990,5,Office
Saltair San Vicente,"12011 San Vicente Blvd, Brentwood, CA",34.052588,-118.470013,55730,1964,7,Office
San Vicente Plaza,"11740 San Vicente Blvd, Brentwood, CA",34.05268,-118.469306,34632,1984,2,Office
Santa Monica Square,"201 Santa Monica Blvd, Santa Monica, CA",34.015046,-118.497022,78494,1983,6,Office
Second Street Plaza,"1333 2nd St, Santa Monica, CA",34.0157823,-118.4974365,81313,1991,6,Office
Sherman Oaks Galleria,"15301 - 15303 Ventura Blvd, Sherman Oaks / Encino, CA",34.15479,-118.472095,1006307,1979,,Office
Studio Plaza,"3400 W. Riverside Dr, Burbank, CA",34.152353,-118.33576,456205,1988,13,Office
The Glendon Retail,"1067 Glendon Avenue, Westwood, CA",34.0614126,-118.4443979,50976,,1,Office
The Tower,"10940 Wilshire Blvd, Westwood, CA",34.0580476,-118.4450773,219259,1988,24,Office
The Trillium,"6300-6320 Canoga Ave, Woodland Hills, CA",34.1707812,-118.5974332,614247,1987,,Office
The Verona,"530 Wilshire Blvd, Santa Monica, CA",34.020606,-118.4966003,49601,1990,4,Office
Valley Executive Tower,"15260 Ventura Blvd, Sherman Oaks / Encino, CA",34.15479,-118.472095,390639,1984,21,Office
Valley Office Plaza,"15233 Ventura Blvd, Sherman Oaks / Encino, CA",34.15479,-118.472095,199569,1966,13,Office
Village on Canon,"301 N. Canon Dr, Beverly Hills, CA",34.069251,-118.399644,102296,,3,Office
Warner Center Towers,"21500-21800 Oxnard St, Woodland Hills, CA",34.179079,-118.602736,1921671,1984,,Office
Warner Corporate Center,"21300 Victory Blvd, Woodland Hills, CA",34.188269,-118.595385,258492,1987,12,Office
Westside Towers,"11835-45 W. Olympic Blvd, Olympic Corridor, CA",39.334399,-120.157381,423273,1985,12,Office
Westwood Center,"1100 Glendon Ave, Westwood, CA",34.0605418,-118.4434967,334111,1962,22,Office
Westwood Place,"10866 Wilshire Blvd, Westwood, CA",34.0590067,-118.4421478,198750,1986,16,Office
Wilshire Bundy Plaza,"12121 Wilshire Blvd, Brentwood, CA",34.0440265,-118.4681651,313749,1984,14,Office
Avenue,"1221 Ocean Avenue, Santa Monica, CA",34.016508,-118.5007248,197250,1971,119,Apt
555 Barrington,"555 Barrington Ave, Los Angeles, CA",34.0582023,-118.4683678,165389,1988,112,Apt
Barrington Kiowa,"11668 Kiowa Ave, Los Angeles, CA",34.0514048,-118.4619577,19992,1974,55,Apt
Barrington Plaza,"11740 Wilshire Blvd, Los Angeles, CA",34.0484054,-118.4611526,312893,1961,240,Apt
Barry Apartments,"1145 Barry Ave, Los Angeles, CA",34.0518052,-118.4608532,45959,1973,53,Apt
Kiowa Apartments,"11717 Kiowa Ave, Los Angeles, CA",34.0508256,-118.4629582,24510,1972,19,Apt
Pacific Plaza,"1431 Ocean Ave, Santa Monica, CA",34.0150079,-118.4991435,198836,1963,288,Apt
The Glendon,"1040 Glendon Ave, Los Angeles, CA",34.061355,-118.4442099,226852,,224,Apt
The Landmark Los Angeles,"11750 Wilshire Blvd, Los Angeles, CA",34.048576,-118.461807,421794,1990,,Apt
The Shores,"2720 Neilson Way, Santa Monica, CA",34.0002957,-118.4829504,,,,Apt
Moanalua Hiillside Apt,"1221 Ala Kapuna St, Honolulu, HI",21.3670185,-157.9005478,,1968,1098,Apt
The Residences at Bishop Place,"1132 Bishop St, Honolulu, HI",21.3100201,-157.8604394,26527,1992,,Apt
Villas at Royal Kunia,"94-994 Eleu St, Waipahu, HI",21.396712,-158.029078,428195,1990,,Apt
Waena Apartments,"1320 Aala St, Honolulu, HI",21.3166811,-157.8610067,,1969,,Apt
