Address,City,State,Property Name,Latitude,Longitude,Total Sqft,Built,Floors,Office/APT
1132 Bishop St, Honolulu, HI,Bishop Place,21.3100201,-157.8604394,462072.0,2020.0,,Mixed
1001-1003 Bishop St, Honolulu, HI,Bishop Square,21.3072683,-157.8632918,975901.0,,,Office
55 Merchant St, Honolulu, HI,Harbor Court,21.3091458,-157.8631483,214746.0,1994.0,,Office
100 Wilshire Blvd, Santa Monica, CA,100 Wilshire,34.016847,-118.5006013,255398.0,1971.0,21.0,Office
10880 Wilshire Blvd, Westwood, CA,10880 Wilshire,34.0587955,-118.4426651,588935.0,1969.0,24.0,Office
10960 Wilshire Blvd, Westwood, CA,10960 Wilshire,34.0580521,-118.445714,593452.0,1971.0,24.0,Office
11777 San Vicente Blvd, Brentwood, CA,11777 San Vicente,34.052943,-118.46821,99111.0,1972.0,9.0,Office
12100 Wilshire Blvd, Brentwood, CA,12100 Wilshire,34.0434918,-118.4676737,365325.0,1985.0,19.0,Office
12400 Wilshire Blvd, Brentwood, CA,12400 Wilshire,34.0419752,-118.469719,246575.0,1985.0,15.0,Office
1299 Ocean Avenue, Santa Monica, CA,1299 Ocean,34.015564,-118.499632,206840.0,1980.0,11.0,Office
150 South Rodeo Dr, Beverly Hills, CA,150 South Rodeo Drive,34.0655242,-118.4009448,71812.0,1990.0,3.0,Office
15250 Ventura Blvd, Sherman Oaks / Encino, CA,15250 Ventura,34.15479,-118.472095,114452.0,1970.0,12.0,Office
16000 Ventura Blvd, Sherman Oaks / Encino, CA,16000 Ventura,34.156071,-118.481435,190058.0,1981.0,12.0,Office
16501 Ventura Blvd, Sherman Oaks / Encino, CA,16501 Ventura,34.157564,-118.492347,192390.0,1986.0,6.0,Office
1901 Avenue of the Stars, Century City, CA,1901 Avenue of the Stars,34.05953,-118.4176895,520327.0,1967.0,20.0,Office
2001 Wilshire Blvd, Santa Monica, CA,2001 Wilshire,34.0398718,-118.4727031,111294.0,1923.0,6.0,Office
233 Wilshire Blvd, Santa Monica, CA,233 Wilshire,34.0181552,-118.4996222,130242.0,1976.0,9.0,Office
401 Wilshire Blvd, Santa Monica, CA,401 Wilshire,34.0197357,-118.498464,232146.0,1981.0,12.0,Office
429 Santa Monica Blvd, Santa Monica, CA,429 Santa Monica,34.0171986,-118.4947459,86859.0,,7.0,Office
8383 Wilshire Blvd, Beverly Hills, CA,8383 Wilshire,34.0650055,-118.3733834,437096.0,1970.0,10.0,Office
8484 Wilshire Blvd, Beverly Hills, CA,8484 Wilshire,34.0646739,-118.37578,226166.0,1972.0,10.0,Office
9100 Wilshire Blvd, Beverly Hills, CA,9100 Wilshire,34.066968,-118.389821,343025.0,1969.0,,Office
9401 Wilshire Blvd, Beverly Hills, CA,9401 Wilshire,34.067136,-118.397522,146309.0,1971.0,12.0,Office
9601 Wilshire Blvd, Beverly Hills, CA,9601 Wilshire,34.067138,-118.40357,310142.0,1962.0,9.0,Office
9665 Wilshire Blvd, Beverly Hills, CA,9665 Wilshire,34.0671471,-118.4050613,167458.0,1971.0,10.0,Office
11704 Wilshire Blvd, Brentwood, CA,Barrington Plaza Commercial,34.0492435,-118.460982,33991.0,1961.0,2.0,Office
8920 Wilshire Blvd, Beverly Hills, CA,Beverly Hills Medical Center,34.0669549,-118.3863783,107334.0,1964.0,7.0,Office
11990 San Vicente Blvd, Brentwood, CA,Brentwood Court,34.05247,-118.470683,27329.0,1984.0,3.0,Office
11726 San Vicente Blvd, Brentwood, CA,Brentwood Executive Plaza,34.05256,-118.469808,90307.0,1981.0,6.0,Office
11980 San Vicente Blvd, Brentwood, CA,Brentwood Medical Plaza,34.052415,-118.470926,89476.0,1975.0,9.0,Office
11999 San Vicente Blvd, Brentwood, CA,Brentwood Saltair,34.052588,-118.470013,60502.0,1986.0,4.0,Office
11633 San Vicente Blvd, Brentwood, CA,Brentwood San Vicente Medical,34.053733,-118.464798,46953.0,1957.0,,Office
11900 W. Olympic Blvd, Olympic Corridor, CA,Bundy Olympic,39.3369,-120.154862,115837.0,,8.0,Office
414 N. Camden Dr, Beverly Hills, CA,Camden Medical Arts,34.0689982,-118.4039567,66872.0,1971.0,12.0,Office
6310-6330 San Vicente Blvd, Beverly Hills, CA,Carthay Campus,34.069575,-118.375517,217557.0,1965.0,,Office
1801 Century Park East, Century City, CA,Century Park Plaza,34.0621129,-118.4158133,386863.0,1972.0,26.0,Office
1801 Century Park West, Century City, CA,Century Park West,34.0582245,-118.4206737,50079.0,1971.0,6.0,Office
